"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
12.8	126	967	960	973	1	1	5	0	1	2	0	1	0	0	1	1
12.9	124	972	974	970	0	1	3	0	1	0	0	2	1	1	1	0
13.	126	976	982	976	0	0	0	0	2	1	0	1	0	0	0	2
13.1	127	975	978	972	2	0	2	0	2	1	0	0	1	1	0	0
13.2	127	965	969	974	1	2	2	0	2	2	1	2	1	2	0	1
13.3	131	976	963	961	2	2	2	1	2	0	2	0	2	0	0	2
13.4	128	971	974	969	0	0	1	0	0	3	1	0	0	0	2	0
13.5	128	973	976	978	0	1	1	1	0	1	0	0	1	0	1	1
13.6	126	972	974	969	4	0	0	1	1	1	1	0	1	1	1	0
13.7	124	972	975	972	2	1	0	0	1	0	0	0	0	0	0	4
13.8	121	966	973	970	1	1	1	0	1	0	1	1	0	2	0	4
13.9	116	962	964	975	1	3	1	1	2	1	0	1	0	1	2	1
14.	118	968	966	977	2	1	0	1	2	2	0	2	2	1	2	1
14.1	120	971	976	976	0	0	1	1	0	1	0	0	0	1	0	2
14.2	119	978	972	972	1	0	1	2	0	0	0	0	1	0	1	0
14.3	113	964	973	970	1	1	0	4	0	2	2	2	0	3	1	1
14.4	115	970	969	972	2	3	2	0	0	0	2	0	1	0	0	0
14.5	112	967	969	964	3	2	0	1	1	1	0	3	1	0	0	3
14.6	113	967	968	975	0	0	1	2	0	1	0	1	2	0	0	2
14.7	111	976	969	971	0	1	2	4	0	0	0	1	0	0	0	1
14.8	112	973	968	970	1	1	0	0	0	1	0	0	2	2	2	0
14.9	114	975	971	970	0	2	2	0	0	0	0	0	0	1	1	0
15.	116	968	968	972	2	2	1	1	1	0	1	0	1	1	1	1
15.1	118	972	967	973	0	1	1	1	1	2	1	2	1	1	0	2
15.2	118	974	975	975	0	0	0	1	1	1	0	0	1	0	2	1
15.3	121	963	972	968	2	0	2	0	2	2	2	2	1	3	2	2
15.4	121	972	972	972	0	0	1	1	0	1	0	1	1	2	1	1
15.5	123	967	969	981	3	0	1	1	0	0	2	2	1	0	1	0
15.6	127	974	975	970	1	0	1	2	0	0	2	1	1	0	0	1
15.7	131	971	969	974	1	2	1	1	0	0	1	3	2	1	2	2
15.8	128	969	975	972	0	1	1	0	2	0	1	0	1	0	2	1
15.9	126	973	974	972	1	0	0	0	1	1	1	1	1	1	0	1
16.	126	969	973	971	2	1	1	0	1	0	1	1	2	2	0	0
16.1	126	963	971	971	0	3	1	0	1	3	0	1	1	0	0	2
16.2	127	968	974	972	0	0	2	0	2	1	2	0	0	2	2	1
16.3	124	975	967	978	0	2	2	0	0	0	2	0	2	1	0	1
16.4	123	968	967	970	1	1	1	0	1	0	1	2	2	1	2	1
16.5	123	972	971	972	1	1	1	0	1	0	0	1	0	1	1	1
16.6	122	969	970	966	3	1	2	2	1	1	2	0	2	1	0	2
16.7	122	969	974	973	1	1	1	0	1	2	1	1	2	1	1	3
16.8	125	969	971	962	1	0	0	1	0	0	2	1	0	0	1	1
16.9	128	970	968	968	0	1	2	2	0	0	4	1	1	0	0	2
17.	128	968	977	973	0	0	2	2	2	0	0	1	0	0	1	0
17.1	126	973	973	969	3	1	0	0	1	0	1	1	1	2	0	2
17.2	124	974	971	976	0	2	0	1	0	2	1	1	0	0	1	1
17.3	121	973	977	975	1	1	1	1	1	0	1	3	1	0	0	0
17.4	124	975	978	964	0	3	2	0	4	1	3	1	0	1	0	2
17.5	127	972	972	967	1	1	0	1	0	1	0	3	1	0	0	1
17.6	130	968	975	974	1	1	1	0	1	1	1	1	1	1	0	1
17.7	132	966	967	976	0	2	1	0	1	1	0	1	1	0	0	0
17.8	131	974	969	971	0	2	0	0	0	0	0	0	4	1	1	1
17.9	134	972	974	975	0	0	1	0	0	0	0	1	0	1	0	0
18.	134	974	972	961	0	1	1	3	1	0	2	0	3	3	0	1
18.1	135	970	962	967	1	1	0	2	2	0	3	1	2	0	1	2
18.2	130	970	975	964	1	0	3	1	1	0	2	1	1	0	0	0
18.3	128	970	968	978	1	1	1	0	2	0	0	0	1	1	2	0
18.4	129	976	973	972	1	2	1	3	1	0	0	0	1	4	0	2
